Time,Temperature (°C),Precipitation (mm),Cloudcover (%),Pressure (hPa),Wind Speed (km/h),Dewpoint (°C)
2023-01-18 00:00,36.1,0,36,995.7,3.9,12.2
2023-01-18 01:00,34.8,0.1,62,995.1,7.1,12.4
2023-01-18 02:00,31.4,0.9,68,995.8,3.1,15.2
2023-01-18 03:00,30.2,0,70,995.8,8.7,18.2
2023-01-18 04:00,28.9,0,73,996.5,2.2,18.7
2023-01-18 05:00,26.2,0,65,997.9,17.5,19.1
2023-01-18 06:00,24.2,0,77,998.5,15.1,19.2
2023-01-18 07:00,22,0,62,998.9,17.3,20.8
2023-01-18 08:00,21.8,0.7,84,999,12.6,20.9
2023-01-18 09:00,21.5,0.1,80,998.6,11.1,20.9
2023-01-18 10:00,21,0,100,997.3,8.3,20.7
2023-01-18 11:00,20.8,0,100,996.8,3.9,20.4
2023-01-18 12:00,20.6,0.4,100,996.5,7.3,20.3
2023-01-18 13:00,20.1,0.2,100,996.7,9.7,19.4
2023-01-18 14:00,19.6,0.1,97,997.2,9.4,18.5
2023-01-18 15:00,19.6,0,87,997.8,6.6,18.5
2023-01-18 16:00,20.5,0,100,999,10.4,18.5
2023-01-18 17:00,20.4,0.1,100,999.4,12.2,18.4
2023-01-18 18:00,20.5,0.5,100,999.8,13.4,18.3
2023-01-18 19:00,19.4,0.4,100,1000.3,14,18.2
2023-01-18 20:00,19.6,0.9,100,1000.7,15.3,17.6
2023-01-18 21:00,19.8,0.2,100,1000.7,15.9,16.9
2023-01-18 22:00,20.5,0.1,100,1000.7,18.6,16.3
2023-01-18 23:00,20.2,0.1,100,1000.7,19.4,15.7
